"";"raster_id";"shape_index";"FWIclass";"julday";"per_fc";"yearf";"feco";"fgener";"fresp";"area";"perimeter";"ftype"
"1";"NIP24_2001_7_rbr";1,611219958;"High";160;85,8633776091082;2001;"Big Trout Lake";"LTG";"SUP";838665,6843;5902,136658;"IFR"
"2";"NIP44_2000_29_rbr";5,504581829;"Moderate";293;97,9030745977386;2000;"Lake Nipigon";"IDF";"SUP";41637270,98;142077,5475;"IFR"
"3";"DRY14_2000_30_rbr";1,729419547;"High";124;89,6732026143791;2000;"Lake Wabigoon";"RWY";"SUP";631075,046;5495,419601;"IFR"
"4";"NIP42_2000_32_rbr";1,091749791;"Low";293;87,8654970760234;2000;"Lake Nipigon";"IDF";"SUP";3337243,234;7977,687854;"IFR"
"5";"NIP26_2001_47_rbr";2,948308094;"High";160;99,137311286844;2001;"Big Trout Lake";"LTG";"SUP";1121539,36;12489,35804;"IFR"
"6";"NIP77_2001_49_rbr";1,25509332;"Low";204;100;2001;"Lake Nipigon";"LTG";"SUP";538035,0566;3682,487628;"IFR"
"7";"FOR1_2000_59_rbr";1,270937068;"Low";70;78,3823529411764;2000;"Agassiz Clay Plain";"UNK";"MON";576163,873;3858,842469;"IFR"
"8";"SLK47_2002_73_rbr";0,887354533;"High";191;100;2002;"Lake St. Joseph";"IDF";"SUP";1325132,763;4085,891777;"IFR"
"9";"DRY10_2002_75_rbr";1,658016579;"Low";151;95,1599946445307;2002;"Lake Wabigoon";"LTG";"SUP";12333004,5;23290,74096;"IFR"
"10";"NIP75_2002_76_rbr";2,992989816;"Extreme";193;98,4074329474104;2002;"Lake Nipigon";"LTG";"SUP";117339966,4;129684,5413;"IFR"
"11";"NIP16_2002_77_rbr";3,808020335;"High";153;83,2738985390545;2002;"Lake Nipigon";"LTG";"PRO";22589819,95;72396,17729;"IFR"
"12";"TER7_1986_83_rbr";1,071180418;"High";141;85,6034148234381;1986;"Lake Nipigon";"RWY";"NR";2284265,425;6475,836858;"IFR"
"13";"RED47_2002_92_rbr";1,916327439;"High";194;98,469654691315;2002;"Lake St. Joseph";"LTG";"SUP";75266880,82;66501,53483;"IFR"
"14";"NIP81_2002_96_rbr";1,499967966;"High";197;99,8291571753986;2002;"Big Trout Lake";"LTG";"SUP";2796896,782;10034,1409;"IFR"
"15";"THU16_2002_102_rbr";1,623901996;"Low";143;99,8663816141101;2002;"Lake Nipigon";"LTG";"SUP";6084687,157;16022,81927;"IFR"
"16";"NIP85_2002_103_rbr";1,684219989;"High";197;95,6453774006253;2002;"Lake Nipigon";"LTG";"SUP";3757973,679;13059,77443;"IFR"
"17";"GER31_1987_120_rbr";1,127696484;"High";174;96,1659457333858;1987;"Big Trout Lake";"LTG";"NR";4189915,495;9233,255423;"IFR"
"18";"THU58_1996_127_rbr";4,707728957;"High";164;63,6147643275415;1996;"Lake Nipigon";"LTG";"SUP";71226459,44;158924,9636;"IFR"
"19";"FOR11_1996_134_rbr";1,33841932;"High";164;90,1656949984659;1996;"Lake Wabigoon";"LTG";"SUP";5414101,621;12457,05523;"IFR"
"20";"THU21_1998_137_rbr";2,571272441;"High";120;94,4893325916014;1998;"Lake Nipigon";"UNK";"SUP";270147499;169047,4259;"IFR"
"21";"GER27_1989_138_rbr";1,179052842;"High";169;97,8748393035695;1989;"Big Trout Lake";"LTG";"PRO";56728747,05;35521,79114;"IFR"
"22";"NIP75_1995_140_rbr";1,354998629;"High";170;95,9791122715405;1995;"Lake Nipigon";"LTG";"SUP";3040451,47;9450,785037;"IFR"
"23";"THU84_1996_147_rbr";1,230719704;"High";164;92,7032393823538;1996;"Lake Nipigon";"LTG";"SUP";29383662,43;26685,30114;"IFR"
"24";"SLK84_1996_148_rbr";2,002223385;"Extreme";165;99,2596093257719;1996;"Lake St. Joseph";"LTG";"SUP";5122184,501;18125,92295;"IFR"
"25";"KEN100_1995_159_rbr";1,462107294;"Moderate";171;62,8815628815629;1995;"Lake Wabigoon";"LTG";"SUP";2659743,872;9538,040089;"IFR"
"26";"RED60_2002_175_rbr";1,301472588;"High";196;99,7263273125342;2002;"Lake St. Joseph";"LTG";"SUP";4343180,093;10849,23049;"IFR"
"27";"IGN41_1989_211_rbr";1,52311026;"Moderate";291;99,8425196850394;1989;"Lake Wabigoon";"IDF";"PRO";1099774,28;6389,150443;"IFR"
"28";"RED19_1999_219_rbr";2,850270607;"High";148;68,569415081043;1999;"Lake St. Joseph";"IDF";"SUP";4531927,034;24270,99272;"IFR"
"29";"NIP60_1996_227_rbr";1,799304765;"High";164;98,37083836161;1996;"Big Trout Lake";"LTG";"SUP";22576064,57;34197,06553;"IFR"
"30";"KEN121_1995_233_rbr";1,53760949;"High";173;67,2762066765894;1995;"Lake Wabigoon";"LTG";"SUP";3771201,608;11943,89336;"IFR"
"31";"NIP39_1996_236_rbr";1,57948799;"Moderate";164;74,5846621671734;1996;"Lake Nipigon";"LTG";"SUP";93359486,59;61045,76587;"IFR"
"32";"SLK74_1996_261_rbr";4,080597687;"High";164;98,7895158063225;1996;"Lake St. Joseph";"LTG";"PRO";8128442,529;46535,82741;"IFR"
"33";"NIP64_1995_262_rbr";1,21004007;"High";170;99,2777921072994;1995;"Big Trout Lake";"LTG";"MON";3041665,155;8441,418746;"IFR"
"34";"GER32_1989_272_rbr";1,304182667;"Extreme";172;98,7938097405553;1989;"Big Trout Lake";"LTG";"PRO";11046882,25;17338,76968;"IFR"
"35";"DRY29_1995_275_rbr";2,092171356;"Extreme";171;53,7579826428688;1995;"Lake Wabigoon";"LTG";"SUP";15257228,54;32688,50577;"IFR"
"36";"RED230_1988_277_rbr";1,31107892;"Extreme";172;99,113475177305;1988;"Lake Wabigoon";"LTG";"NR";1909633,556;7247,093168;"IFR"
"37";"NIP103_1998_283_rbr";1,644918543;"Low";172;97,2445907149359;1998;"Lake Nipigon";"LTG";"SUP";24130830,33;32321,42656;"IFR"
"38";"THU83_1996_292_rbr";1,511632661;"Low";165;93,5802245563202;1996;"Lake Nipigon";"LTG";"SUP";8792054,81;17928,80946;"IFR"
"39";"THU124_1998_298_rbr";1,502459894;"Low";191;99,7299729972997;1998;"Lake Nipigon";"LTG";"SUP";1973012,283;8441,658398;"IFR"
"40";"SLK65_1995_307_rbr";2,148330574;"Moderate";167;80,5999360533276;1995;"Lake St. Joseph";"LTG";"SUP";83654637,41;78597,0256;"IFR"
"41";"THU14_1995_308_rbr";2,806670031;"High";150;89,2857142857143;1995;"Lake Nipigon";"MIS";"SUP";9913541,87;35348,07529;"IFR"
"42";"RED22_1993_309_rbr";2,210792322;"High";156;93,6426548310802;1993;"Lake St. Joseph";"LTG";"MON";144553543,3;106321,7974;"IFR"
"43";"NIP80_1996_310_rbr";2,359164941;"High";166;94,9697251979507;1996;"Lake Nipigon";"LTG";"SUP";1844737,922;12816,97788;"IFR"
"44";"THU76_1996_311_rbr";2,326239791;"High";164;74,1538461538461;1996;"Lake Nipigon";"LTG";"MON";9762205,408;29072,90588;"IFR"
"45";"FOR13_1987_316_rbr";1,361553995;"High";108;66,697703289882;1987;"Agassiz Clay Plain";"MIS";"NR";5657010,762;12953,53678;"IFR"
"46";"FOR10_1991_317_rbr";0,941612811;"Low";114;25,2144082332761;1991;"Agassiz Clay Plain";"IDO";"SUP";511812,9554;2694,560799;"IFR"
"47";"NIP61_1996_318_rbr";1,929399507;"High";162;95,1739618406285;1996;"Lake Nipigon";"LTG";"SUP";1647835,781;9906,930562;"IFR"
